area_type_code	area_code	area_text	display_level	selectable	sort_sequence
F	CN0500100000000	Arkansas County, AR	0	T	277
F	CN0500300000000	Ashley County, AR	0	T	278
F	CN0500500000000	Baxter County, AR	0	T	279
F	CN0500700000000	Benton County, AR	0	T	280
F	CN0500900000000	Boone County, AR	0	T	281
F	CN0501100000000	Bradley County, AR	0	T	282
F	CN0501300000000	Calhoun County, AR	0	T	283
F	CN0501500000000	Carroll County, AR	0	T	284
F	CN0501700000000	Chicot County, AR	0	T	285
F	CN0501900000000	Clark County, AR	0	T	286
F	CN0502100000000	Clay County, AR	0	T	287
F	CN0502300000000	Cleburne County, AR	0	T	288
F	CN0502500000000	Cleveland County, AR	0	T	289
F	CN0502700000000	Columbia County, AR	0	T	290
F	CN0502900000000	Conway County, AR	0	T	291
F	CN0503100000000	Craighead County, AR	0	T	292
F	CN0503300000000	Crawford County, AR	0	T	293
F	CN0503500000000	Crittenden County, AR	0	T	294
F	CN0503700000000	Cross County, AR	0	T	295
F	CN0503900000000	Dallas County, AR	0	T	296
F	CN0504100000000	Desha County, AR	0	T	297
F	CN0504300000000	Drew County, AR	0	T	298
F	CN0504500000000	Faulkner County, AR	0	T	299
F	CN0504700000000	Franklin County, AR	0	T	300
F	CN0504900000000	Fulton County, AR	0	T	301
F	CN0505100000000	Garland County, AR	0	T	302
F	CN0505300000000	Grant County, AR	0	T	303
F	CN0505500000000	Greene County, AR	0	T	304
F	CN0505700000000	Hempstead County, AR	0	T	305
F	CN0505900000000	Hot Spring County, AR	0	T	306
F	CN0506100000000	Howard County, AR	0	T	307
F	CN0506300000000	Independence County, AR	0	T	308
F	CN0506500000000	Izard County, AR	0	T	309
F	CN0506700000000	Jackson County, AR	0	T	310
F	CN0506900000000	Jefferson County, AR	0	T	311
F	CN0507100000000	Johnson County, AR	0	T	312
F	CN0507300000000	Lafayette County, AR	0	T	313
F	CN0507500000000	Lawrence County, AR	0	T	314
F	CN0507700000000	Lee County, AR	0	T	315
F	CN0507900000000	Lincoln County, AR	0	T	316
F	CN0508100000000	Little River County, AR	0	T	317
F	CN0508300000000	Logan County, AR	0	T	318
F	CN0508500000000	Lonoke County, AR	0	T	319
F	CN0508700000000	Madison County, AR	0	T	320
F	CN0508900000000	Marion County, AR	0	T	321
F	CN0509100000000	Miller County, AR	0	T	322
F	CN0509300000000	Mississippi County, AR	0	T	323
F	CN0509500000000	Monroe County, AR	0	T	324
F	CN0509700000000	Montgomery County, AR	0	T	325
F	CN0509900000000	Nevada County, AR	0	T	326
F	CN0510100000000	Newton County, AR	0	T	327
F	CN0510300000000	Ouachita County, AR	0	T	328
F	CN0510500000000	Perry County, AR	0	T	329
F	CN0510700000000	Phillips County, AR	0	T	330
F	CN0510900000000	Pike County, AR	0	T	331
F	CN0511100000000	Poinsett County, AR	0	T	332
F	CN0511300000000	Polk County, AR	0	T	333
F	CN0511500000000	Pope County, AR	0	T	334
F	CN0511700000000	Prairie County, AR	0	T	335
F	CN0511900000000	Pulaski County, AR	0	T	336
F	CN0512100000000	Randolph County, AR	0	T	337
F	CN0512300000000	St. Francis County, AR	0	T	338
F	CN0512500000000	Saline County, AR	0	T	339
F	CN0512700000000	Scott County, AR	0	T	340
F	CN0512900000000	Searcy County, AR	0	T	341
F	CN0513100000000	Sebastian County, AR	0	T	342
F	CN0513300000000	Sevier County, AR	0	T	343
F	CN0513500000000	Sharp County, AR	0	T	344
F	CN0513700000000	Stone County, AR	0	T	345
F	CN0513900000000	Union County, AR	0	T	346
F	CN0514100000000	Van Buren County, AR	0	T	347
F	CN0514300000000	Washington County, AR	0	T	348
F	CN0514500000000	White County, AR	0	T	349
F	CN0514700000000	Woodruff County, AR	0	T	350
F	CN0514900000000	Yell County, AR	0	T	351
F	CN0800100000000	Adams County, CO	0	T	785
F	CN0800300000000	Alamosa County, CO	0	T	786
F	CN0800500000000	Arapahoe County, CO	0	T	787
F	CN0800700000000	Archuleta County, CO	0	T	788
F	CN0800900000000	Baca County, CO	0	T	789
F	CN0801100000000	Bent County, CO	0	T	790
F	CN0801300000000	Boulder County, CO	0	T	791
F	CN0801400000000	Broomfield County/city, CO	0	T	792
F	CN0801500000000	Chaffee County, CO	0	T	793
F	CN0801700000000	Cheyenne County, CO	0	T	794
F	CN0801900000000	Clear Creek County, CO	0	T	795
F	CN0802100000000	Conejos County, CO	0	T	796
F	CN0802300000000	Costilla County, CO	0	T	797
F	CN0802500000000	Crowley County, CO	0	T	798
F	CN0802700000000	Custer County, CO	0	T	799
F	CN0802900000000	Delta County, CO	0	T	800
F	CN0803100000000	Denver County/city, CO	0	T	801
F	CN0803300000000	Dolores County, CO	0	T	802
F	CN0803500000000	Douglas County, CO	0	T	803
F	CN0803700000000	Eagle County, CO	0	T	804
F	CN0803900000000	Elbert County, CO	0	T	805
F	CN0804100000000	El Paso County, CO	0	T	806
F	CN0804300000000	Fremont County, CO	0	T	807
F	CN0804500000000	Garfield County, CO	0	T	808
F	CN0804700000000	Gilpin County, CO	0	T	809
F	CN0804900000000	Grand County, CO	0	T	810
F	CN0805100000000	Gunnison County, CO	0	T	811
F	CN0805300000000	Hinsdale County, CO	0	T	812
F	CN0805500000000	Huerfano County, CO	0	T	813
F	CN0805700000000	Jackson County, CO	0	T	814
F	CN0805900000000	Jefferson County, CO	0	T	815
F	CN0806100000000	Kiowa County, CO	0	T	816
F	CN0806300000000	Kit Carson County, CO	0	T	817
F	CN0806500000000	Lake County, CO	0	T	818
F	CN0806700000000	La Plata County, CO	0	T	819
F	CN0806900000000	Larimer County, CO	0	T	820
F	CN0807100000000	Las Animas County, CO	0	T	821
F	CN0807300000000	Lincoln County, CO	0	T	822
F	CN0807500000000	Logan County, CO	0	T	823
F	CN0807700000000	Mesa County, CO	0	T	824
F	CN0807900000000	Mineral County, CO	0	T	825
F	CN0808100000000	Moffat County, CO	0	T	826
F	CN0808300000000	Montezuma County, CO	0	T	827
F	CN0808500000000	Montrose County, CO	0	T	828
F	CN0808700000000	Morgan County, CO	0	T	829
F	CN0808900000000	Otero County, CO	0	T	830
F	CN0809100000000	Ouray County, CO	0	T	831
F	CN0809300000000	Park County, CO	0	T	832
F	CN0809500000000	Phillips County, CO	0	T	833
F	CN0809700000000	Pitkin County, CO	0	T	834
F	CN0809900000000	Prowers County, CO	0	T	835
F	CN0810100000000	Pueblo County, CO	0	T	836
F	CN0810300000000	Rio Blanco County, CO	0	T	837
F	CN0810500000000	Rio Grande County, CO	0	T	838
F	CN0810700000000	Routt County, CO	0	T	839
F	CN0810900000000	Saguache County, CO	0	T	840
F	CN0811100000000	San Juan County, CO	0	T	841
F	CN0811300000000	San Miguel County, CO	0	T	842
F	CN0811500000000	Sedgwick County, CO	0	T	843
F	CN0811700000000	Summit County, CO	0	T	844
F	CN0811900000000	Teller County, CO	0	T	845
F	CN0812100000000	Washington County, CO	0	T	846
F	CN0812300000000	Weld County, CO	0	T	847
F	CN0812500000000	Yuma County, CO	0	T	848
F	CN0900100000000	Fairfield County, CT	0	T	909
F	CN0900300000000	Hartford County, CT	0	T	910
F	CN0900500000000	Litchfield County, CT	0	T	911
F	CN0900700000000	Middlesex County, CT	0	T	912
F	CN0900900000000	New Haven County, CT	0	T	913
F	CN0901100000000	New London County, CT	0	T	914
F	CN0901300000000	Tolland County, CT	0	T	915
F	CN0901500000000	Windham County, CT	0	T	916
F	CN1600100000000	Ada County, ID	0	T	1597
F	CN1600300000000	Adams County, ID	0	T	1598
F	CN1600500000000	Bannock County, ID	0	T	1599
F	CN1600700000000	Bear Lake County, ID	0	T	1600
F	CN1600900000000	Benewah County, ID	0	T	1601
F	CN1601100000000	Bingham County, ID	0	T	1602
F	CN1601300000000	Blaine County, ID	0	T	1603
F	CN1601500000000	Boise County, ID	0	T	1604
F	CN1601700000000	Bonner County, ID	0	T	1605
F	CN1601900000000	Bonneville County, ID	0	T	1606
F	CN1602100000000	Boundary County, ID	0	T	1607
F	CN1602300000000	Butte County, ID	0	T	1608
F	CN1602500000000	Camas County, ID	0	T	1609
F	CN1602700000000	Canyon County, ID	0	T	1610
F	CN1602900000000	Caribou County, ID	0	T	1611
F	CN1603100000000	Cassia County, ID	0	T	1612
F	CN1603300000000	Clark County, ID	0	T	1613
F	CN1603500000000	Clearwater County, ID	0	T	1614
F	CN1603700000000	Custer County, ID	0	T	1615
F	CN1603900000000	Elmore County, ID	0	T	1616
F	CN1604100000000	Franklin County, ID	0	T	1617
F	CN1604300000000	Fremont County, ID	0	T	1618
F	CN1604500000000	Gem County, ID	0	T	1619
F	CN1604700000000	Gooding County, ID	0	T	1620
F	CN1604900000000	Idaho County, ID	0	T	1621
F	CN1605100000000	Jefferson County, ID	0	T	1622
F	CN1605300000000	Jerome County, ID	0	T	1623
F	CN1605500000000	Kootenai County, ID	0	T	1624
F	CN1605700000000	Latah County, ID	0	T	1625
F	CN1605900000000	Lemhi County, ID	0	T	1626
F	CN1606100000000	Lewis County, ID	0	T	1627
F	CN1606300000000	Lincoln County, ID	0	T	1628
F	CN1606500000000	Madison County, ID	0	T	1629
F	CN1606700000000	Minidoka County, ID	0	T	1630
F	CN1606900000000	Nez Perce County, ID	0	T	1631
F	CN1607100000000	Oneida County, ID	0	T	1632
F	CN1607300000000	Owyhee County, ID	0	T	1633
F	CN1607500000000	Payette County, ID	0	T	1634
F	CN1607700000000	Power County, ID	0	T	1635
F	CN1607900000000	Shoshone County, ID	0	T	1636
F	CN1608100000000	Teton County, ID	0	T	1637
F	CN1608300000000	Twin Falls County, ID	0	T	1638
F	CN1608500000000	Valley County, ID	0	T	1639
F	CN1608700000000	Washington County, ID	0	T	1640
F	CN1900100000000	Adair County, IA	0	T	2156
F	CN1900300000000	Adams County, IA	0	T	2157
F	CN1900500000000	Allamakee County, IA	0	T	2158
F	CN1900700000000	Appanoose County, IA	0	T	2159
F	CN1900900000000	Audubon County, IA	0	T	2160
F	CN1901100000000	Benton County, IA	0	T	2161
F	CN1901300000000	Black Hawk County, IA	0	T	2162
F	CN1901500000000	Boone County, IA	0	T	2163
F	CN1901700000000	Bremer County, IA	0	T	2164
F	CN1901900000000	Buchanan County, IA	0	T	2165
F	CN1902100000000	Buena Vista County, IA	0	T	2166
F	CN1902300000000	Butler County, IA	0	T	2167
F	CN1902500000000	Calhoun County, IA	0	T	2168
F	CN1902700000000	Carroll County, IA	0	T	2169
F	CN1902900000000	Cass County, IA	0	T	2170
F	CN1903100000000	Cedar County, IA	0	T	2171
F	CN1903300000000	Cerro Gordo County, IA	0	T	2172
F	CN1903500000000	Cherokee County, IA	0	T	2173
F	CN1903700000000	Chickasaw County, IA	0	T	2174
F	CN1903900000000	Clarke County, IA	0	T	2175
F	CN1904100000000	Clay County, IA	0	T	2176
F	CN1904300000000	Clayton County, IA	0	T	2177
F	CN1904500000000	Clinton County, IA	0	T	2178
F	CN1904700000000	Crawford County, IA	0	T	2179
F	CN1904900000000	Dallas County, IA	0	T	2180
F	CN1905100000000	Davis County, IA	0	T	2181
F	CN1905300000000	Decatur County, IA	0	T	2182
F	CN1905500000000	Delaware County, IA	0	T	2183
F	CN1905700000000	Des Moines County, IA	0	T	2184
F	CN1905900000000	Dickinson County, IA	0	T	2185
F	CN1906100000000	Dubuque County, IA	0	T	2186
F	CN1906300000000	Emmet County, IA	0	T	2187
