Series ID,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
LAUCN050010000000003,4.2(T),3.8(T),3.2(T),2.6(T),2.8(T),3.0(T),3.1(T),2.7(T),2.5(T),2.4(T),2.7(T),2.9(T)
LAUCN050010000000004,387(T),354(T),298(T),244(T),266(T),282(T),294(T),256(T),236(T),233(T),254(T),279(T)
LAUCN050010000000005,8907(T),8987(T),9077(T),9180(T),9201(T),9244(T),9301(T),9253(T),9180(T),9398(T),9290(T),9320(T)
LAUCN050010000000006,9294(T),9341(T),9375(T),9424(T),9467(T),9526(T),9595(T),9509(T),9416(T),9631(T),9544(T),9599(T)
LAUCN050030000000003,6.6(T),6.0(T),5.7(T),4.8(T),4.7(T),5.6(T),6.2(T),5.2(T),4.5(T),4.2(T),5.0(T),5.9(T)
LAUCN050030000000004,512(T),475(T),440(T),375(T),374(T),442(T),484(T),401(T),344(T),320(T),373(T),424(T)
LAUCN050030000000005,7290(T),7393(T),7332(T),7465(T),7512(T),7521(T),7302(T),7300(T),7246(T),7327(T),7064(T),6763(T)
LAUCN050030000000006,7802(T),7868(T),7772(T),7840(T),7886(T),7963(T),7786(T),7701(T),7590(T),7647(T),7437(T),7187(T)
LAUCN050050000000003,5.3(T),4.8(T),4.3(T),3.3(T),3.7(T),4.1(T),4.1(T),4.1(T),3.6(T),3.3(T),3.4(T),3.8(T)
LAUCN050050000000004,865(T),787(T),696(T),542(T),615(T),677(T),664(T),659(T),583(T),538(T),556(T),618(T)
LAUCN050050000000005,15394(T),15564(T),15654(T),15725(T),15857(T),15987(T),15657(T),15524(T),15756(T),15712(T),15681(T),15579(T)
LAUCN050050000000006,16259(T),16351(T),16350(T),16267(T),16472(T),16664(T),16321(T),16183(T),16339(T),16250(T),16237(T),16197(T)
LAUCN050070000000003,3.4(T),3.1(T),2.6(T),2.2(T),2.4(T),2.7(T),2.9(T),2.7(T),2.4(T),2.3(T),2.2(T),2.4(T)
LAUCN050070000000004,4595(T),4305(T),3596(T),2994(T),3336(T),3753(T),4138(T),3816(T),3428(T),3199(T),3148(T),3348(T)
LAUCN050070000000005,130140(T),133236(T),134337(T),135172(T),135219(T),135069(T),136718(T),135515(T),136906(T),138297(T),138237(T),136935(T)
LAUCN050070000000006,134735(T),137541(T),137933(T),138166(T),138555(T),138822(T),140856(T),139331(T),140334(T),141496(T),141385(T),140283(T)
LAUCN050090000000003,3.9(T),3.8(T),3.2(T),2.6(T),2.9(T),3.1(T),3.5(T),3.4(T),3.0(T),2.8(T),2.8(T),3.0(T)
LAUCN050090000000004,621(T),612(T),518(T),418(T),471(T),514(T),560(T),536(T),477(T),450(T),444(T),484(T)
LAUCN050090000000005,15203(T),15449(T),15656(T),15690(T),15747(T),15868(T),15341(T),15224(T),15640(T),15615(T),15663(T),15559(T)
LAUCN050090000000006,15824(T),16061(T),16174(T),16108(T),16218(T),16382(T),15901(T),15760(T),16117(T),16065(T),16107(T),16043(T)
LAUCN050110000000003,5.5(T),5.2(T),4.5(T),3.8(T),3.9(T),4.3(T),4.4(T),4.1(T),3.4(T),3.3(T),3.2(T),3.5(T)
LAUCN050110000000004,249(T),236(T),199(T),170(T),173(T),196(T),195(T),178(T),154(T),150(T),145(T),156(T)
LAUCN050110000000005,4281(T),4282(T),4268(T),4290(T),4302(T),4396(T),4188(T),4145(T),4353(T),4371(T),4339(T),4348(T)
LAUCN050110000000006,4530(T),4518(T),4467(T),4460(T),4475(T),4592(T),4383(T),4323(T),4507(T),4521(T),4484(T),4504(T)
LAUCN050130000000003,5.9(T),5.8(T),5.0(T),4.1(T),4.2(T),4.4(T),4.4(T),4.2(T),3.4(T),3.2(T),3.7(T),3.9(T)
LAUCN050130000000004,143(T),142(T),120(T),101(T),102(T),110(T),107(T),100(T),83(T),79(T),90(T),96(T)
LAUCN050130000000005,2290(T),2295(T),2304(T),2341(T),2345(T),2371(T),2325(T),2297(T),2339(T),2367(T),2340(T),2337(T)
LAUCN050130000000006,2433(T),2437(T),2424(T),2442(T),2447(T),2481(T),2432(T),2397(T),2422(T),2446(T),2430(T),2433(T)
LAUCN050150000000003,5.3(T),4.6(T),3.4(T),2.6(T),2.7(T),2.8(T),2.9(T),2.8(T),2.6(T),2.4(T),2.5(T),2.8(T)
LAUCN050150000000004,648(T),571(T),421(T),331(T),343(T),369(T),384(T),368(T),339(T),319(T),317(T),360(T)
LAUCN050150000000005,11565(T),11720(T),12050(T),12398(T),12563(T),12725(T),12871(T),12835(T),12804(T),12852(T),12459(T),12280(T)
LAUCN050150000000006,12213(T),12291(T),12471(T),12729(T),12906(T),13094(T),13255(T),13203(T),13143(T),13171(T),12776(T),12640(T)
LAUCN050170000000003,8.5(T),8.0(T),7.5(T),6.5(T),6.7(T),6.9(T),7.8(T),6.5(T),5.9(T),5.5(T),5.9(T),6.7(T)
LAUCN050170000000004,282(T),261(T),241(T),212(T),219(T),229(T),259(T),214(T),190(T),176(T),186(T),214(T)
LAUCN050170000000005,3033(T),3002(T),2984(T),3031(T),3043(T),3100(T),3050(T),3068(T),3057(T),3043(T),2986(T),2971(T)
LAUCN050170000000006,3315(T),3263(T),3225(T),3243(T),3262(T),3329(T),3309(T),3282(T),3247(T),3219(T),3172(T),3185(T)
LAUCN050190000000003,4.5(T),3.6(T),3.0(T),3.4(T),3.7(T),4.2(T),5.2(T),4.3(T),3.5(T),3.3(T),3.3(T),3.6(T)
LAUCN050190000000004,430(T),357(T),296(T),333(T),356(T),400(T),500(T),411(T),342(T),326(T),325(T),344(T)
LAUCN050190000000005,9150(T),9424(T),9458(T),9492(T),9345(T),9097(T),9078(T),9215(T),9511(T),9447(T),9451(T),9310(T)
LAUCN050190000000006,9580(T),9781(T),9754(T),9825(T),9701(T),9497(T),9578(T),9626(T),9853(T),9773(T),9776(T),9654(T)
LAUCN050210000000003,6.7(T),6.1(T),5.1(T),4.1(T),4.5(T),5.0(T),5.1(T),4.4(T),4.1(T),3.7(T),4.4(T),5.0(T)
LAUCN050210000000004,381(T),342(T),290(T),232(T),257(T),286(T),294(T),252(T),234(T),208(T),245(T),282(T)
LAUCN050210000000005,5335(T),5283(T),5344(T),5441(T),5441(T),5471(T),5470(T),5475(T),5420(T),5432(T),5328(T),5328(T)
LAUCN050210000000006,5716(T),5625(T),5634(T),5673(T),5698(T),5757(T),5764(T),5727(T),5654(T),5640(T),5573(T),5610(T)
LAUCN050230000000003,5.8(T),5.4(T),4.6(T),3.7(T),4.1(T),4.2(T),4.5(T),4.4(T),4.2(T),4.1(T),4.2(T),4.6(T)
LAUCN050230000000004,524(T),502(T),425(T),337(T),387(T),402(T),423(T),405(T),386(T),373(T),383(T),423(T)
LAUCN050230000000005,8549(T),8744(T),8784(T),8849(T),8966(T),9169(T),8880(T),8803(T),8878(T),8757(T),8717(T),8679(T)
LAUCN050230000000006,9073(T),9246(T),9209(T),9186(T),9353(T),9571(T),9303(T),9208(T),9264(T),9130(T),9100(T),9102(T)
LAUCN050250000000003,5.0(T),4.5(T),4.0(T),3.3(T),3.8(T),3.8(T),4.1(T),3.9(T),3.3(T),3.4(T),3.6(T),3.9(T)
LAUCN050250000000004,161(T),148(T),130(T),108(T),125(T),123(T),136(T),127(T),106(T),112(T),115(T),127(T)
LAUCN050250000000005,3067(T),3105(T),3110(T),3136(T),3125(T),3120(T),3155(T),3106(T),3128(T),3151(T),3113(T),3092(T)
LAUCN050250000000006,3228(T),3253(T),3240(T),3244(T),3250(T),3243(T),3291(T),3233(T),3234(T),3263(T),3228(T),3219(T)
LAUCN050270000000003,5.1(T),4.7(T),4.2(T),3.6(T),4.6(T),5.0(T),5.7(T),4.8(T),4.0(T),3.7(T),3.8(T),3.9(T)
LAUCN050270000000004,472(T),431(T),385(T),327(T),423(T),458(T),507(T),436(T),372(T),351(T),356(T),365(T)
LAUCN050270000000005,8704(T),8779(T),8824(T),8844(T),8759(T),8719(T),8321(T),8580(T),8957(T),9117(T),9016(T),8945(T)
