station,latitude,longitude,state
US009052008,43.733299,-96.633301,SD
US10RMHS145,40.526798,-105.1113,CO
US1ARAR0001,34.298801,-91.337601,AR
US1ARAR0002,34.292999,-91.337997,AR
US1ARAR0003,34.389999,-91.532402,AR
US1ARAS0001,33.16,-91.946404,AR
US1ARAS0002,33.117901,-91.950699,AR
US1ARAS0004,33.2257,-91.999802,AR
US1ARAS0005,33.116001,-91.967499,AR
US1ARAS0007,33.285599,-91.5672,AR
US1ARAS0009,33.114498,-91.967102,AR
US1ARBN0002,36.192299,-93.193604,AR
US1ARBN0005,36.276402,-93.114098,AR
US1ARBN0007,36.294601,-93.291,AR
US1ARBN0019,36.344101,-93.1959,AR
US1ARBN0020,36.154701,-93.108597,AR
US1ARBN0021,36.185799,-92.903999,AR
US1ARBN0022,36.122101,-93.237099,AR
US1ARBT0001,36.492901,-94.298599,AR
US1ARBT0002,36.369701,-94.183098,AR
US1ARBT0003,36.469101,-94.257599,AR
US1ARBT0004,36.4496,-94.118599,AR
US1ARBT0007,36.418999,-93.900902,AR
US1ARBT0008,36.455502,-94.129997,AR
US1ARBT0009,36.445301,-93.900803,AR
US1ARBT0011,36.351299,-94.295303,AR
US1ARBT0012,36.327499,-94.413002,AR
US1ARBT0013,36.486301,-94.281197,AR
US1ARBT0015,36.368599,-94.215103,AR
US1ARBT0016,36.303799,-94.145599,AR
US1ARBT0018,36.3573,-94.299202,AR
US1ARBT0019,36.3344,-94.232803,AR
US1ARBT0020,36.306599,-94.1101,AR
US1ARBT0022,36.474899,-94.267502,AR
US1ARBT0024,36.290501,-94.178703,AR
US1ARBT0025,36.3442,-94.051697,AR
US1ARBT0026,36.220299,-94.540398,AR
US1ARBT0027,36.425098,-94.530403,AR
US1ARBT0028,36.414799,-94.122101,AR
US1ARBT0032,36.465698,-94.304298,AR
US1ARBT0033,36.4631,-94.277496,AR
US1ARBT0034,36.205399,-94.545998,AR
US1ARBT0035,36.377701,-94.0933,AR
US1ARBT0036,36.285801,-93.939201,AR
US1ARBT0037,36.496399,-94.3405,AR
US1ARBT0039,36.184299,-94.483002,AR
US1ARBT0044,36.3269,-94.023399,AR
US1ARBT0045,36.278801,-94.243698,AR
US1ARBT0048,36.257702,-94.128601,AR
US1ARBT0049,36.334599,-94.263496,AR
US1ARBT0050,36.2967,-94.142403,AR
US1ARBT0055,36.4361,-94.273102,AR
US1ARBT0056,36.4725,-94.255096,AR
US1ARBT0057,36.360901,-94.266296,AR
US1ARBT0058,36.293301,-94.388603,AR
US1ARBX0002,36.393002,-92.302002,AR
US1ARBX0003,36.1021,-92.2108,AR
US1ARBX0004,36.3106,-92.5728,AR
US1ARBX0010,36.3867,-92.497498,AR
US1ARBX0011,36.3307,-92.266602,AR
US1ARBX0017,36.430401,-92.254501,AR
US1ARBX0018,36.325199,-92.196999,AR
US1ARBX0019,36.4533,-92.466003,AR
US1ARBX0020,36.3218,-92.3022,AR
US1ARBX0021,36.208698,-92.295502,AR
US1ARBX0022,36.2262,-92.422798,AR
US1ARBX0024,36.371101,-92.5327,AR
US1ARBX0025,36.310299,-92.533897,AR
US1ARBX0026,36.325298,-92.391197,AR
US1ARBX0028,36.155201,-92.235497,AR
US1ARBX0034,36.197201,-92.268799,AR
US1ARBX0036,36.224701,-92.287399,AR
US1ARBX0037,36.414398,-92.163002,AR
US1ARBX0038,36.202499,-92.2342,AR
US1ARBX0039,36.3563,-92.393997,AR
US1ARBX0041,36.276402,-92.388603,AR
US1ARBX0045,36.439499,-92.351898,AR
US1ARCB0007,35.496399,-92.051102,AR
US1ARCB0010,35.446701,-91.9655,AR
US1ARCF0001,35.497299,-94.229301,AR
US1ARCF0002,35.491001,-94.302498,AR
